Starting run:
fd936c24eddc4300b442ba66e00f4bdb
params: {'n': 10000, 'lr': 0.0008, 'epochs': 600, 'batch_size': 10, 'b': 10, 'cc_weight': 1.0, 'abstract_pen': 1.0, 'hmm': True, 'homo': True, 'sv': False, 'save_every': False, 'test_every': 20, 'num_test': 200, 'no_log': False, 'disk_data': False, 'outer': False, 'model_type': 'hmm', 'device': 'NVIDIA GeForce GTX 1080 Ti', 'id': 'fd936c24eddc4300b442ba66e00f4bdb'}
train
Net has 41898 parameters
Epoch 0	 test acc 0.005
Epoch 20	 test acc 0.18
Epoch 40	 test acc 0.235
Epoch 60	 test acc 0.15
Epoch 80	 test acc 0.105
Epoch 100	 test acc 0.09
Epoch 120	 test acc 0.165
Epoch 140	 test acc 0.235
Epoch 160	 test acc 0.155
Epoch 180	 test acc 0.175
Epoch 200	 test acc 0.16
Epoch 220	 test acc 0.165
Epoch 240	 test acc 0.19
Epoch 260	 test acc 0.205
Epoch 280	 test acc 0.17
Epoch 300	 test acc 0.175
Epoch 320	 test acc 0.215
Epoch 340	 test acc 0.205
Epoch 360	 test acc 0.18
Epoch 380	 test acc 0.195
Epoch 400	 test acc 0.195
Epoch 420	 test acc 0.185
Epoch 440	 test acc 0.16
Epoch 460	 test acc 0.185
Epoch 480	 test acc 0.185
Epoch 500	 test acc 0.2
Epoch 520	 test acc 0.2
Epoch 540	 test acc 0.19
Epoch 560	 test acc 0.17
Epoch 580	 test acc 0.205
Saved model at models/fd936c24eddc4300b442ba66e00f4bdb.pt
Completed training in 46175.7 seconds
