Starting run:
8c2f0916633948e9a880a83cdecaaaf3
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=8, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='8c2f0916633948e9a880a83cdecaaaf3')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220801_143444-1ccvfolv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run glad-oath-140
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/1ccvfolv
Net has 251670 parameters
loss=tensor(0.0381, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0
loss=tensor(0.0189, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.00033
loss=tensor(0.0120, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.02197
loss=tensor(0.0085, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.06599
loss=tensor(0.0073, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.11571
loss=tensor(0.0068, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.16511
loss=tensor(0.0043, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.20323
loss=tensor(0.0054, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.23736
loss=tensor(0.0050, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.27043
loss=tensor(0.0033, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.29939
loss=tensor(0.0043, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.32519
loss=tensor(0.0051, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.34955
loss=tensor(0.0036, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.37437
loss=tensor(0.0030, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.39363
loss=tensor(0.0026, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.41374
loss=tensor(0.0028, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.43735
loss=tensor(0.0031, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.45434
loss=tensor(0.0025, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.47386
loss=tensor(0.0038, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.48709
loss=tensor(0.0019, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.50505
loss=tensor(0.0033, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.51286
loss=tensor(0.0023, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.52198
loss=tensor(0.0027, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.54209
loss=tensor(0.0024, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.54703
loss=tensor(0.0021, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.55871
loss=tensor(0.0023, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.56561
loss=tensor(0.0023, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.56424
loss=tensor(0.0028, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.5718
loss=tensor(0.0024, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.58405
