Starting run:
f03943376cbf4b67b7e083b88774a1d8
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=16, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='f03943376cbf4b67b7e083b88774a1d8')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.13.0 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220803_135852-f1uqc0vj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run blooming-thunder-149
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/f1uqc0vj
Net has 251670 parameters
loss=tensor(0.0381, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0
loss=tensor(0.0222, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0
loss=tensor(0.0133, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.00881
loss=tensor(0.0093, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.05379
loss=tensor(0.0078, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.11422
loss=tensor(0.0068, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.16807
loss=tensor(0.0050, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.21828
loss=tensor(0.0042, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.26202
loss=tensor(0.0049, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.29649
loss=tensor(0.0035, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.32531
loss=tensor(0.0037, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.35071
loss=tensor(0.0043, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.37433
loss=tensor(0.0038, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.39819
loss=tensor(0.0026, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.4075
loss=tensor(0.0028, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.42858
loss=tensor(0.0034, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.43654
