Starting run:
677af524b0d8474388e7db92fa6c184d
params: {'n': 10000, 'lr': 0.0008, 'epochs': 600, 'batch_size': 10, 'b': 10, 'cc_weight': 1.0, 'abstract_pen': 0.0, 'hmm': True, 'homo': False, 'sv': False, 'save_every': False, 'test_every': 20, 'num_test': 200, 'no_log': False, 'disk_data': False, 'outer': False, 'model_type': 'hmm', 'device': 'NVIDIA GeForce RTX 3090', 'id': '677af524b0d8474388e7db92fa6c184d'}
train
Net has 205330 parameters
Epoch 0	 test acc 0.095
Epoch 20	 test acc 0.165
Epoch 40	 test acc 0.24
Epoch 60	 test acc 0.225
Epoch 80	 test acc 0.195
Epoch 100	 test acc 0.125
Epoch 120	 test acc 0.145
Epoch 140	 test acc 0.255
Epoch 160	 test acc 0.18
Epoch 180	 test acc 0.22
Epoch 200	 test acc 0.235
Epoch 220	 test acc 0.195
Epoch 240	 test acc 0.21
Epoch 260	 test acc 0.23
Epoch 280	 test acc 0.235
Epoch 300	 test acc 0.195
Epoch 320	 test acc 0.26
Epoch 340	 test acc 0.255
Epoch 360	 test acc 0.24
Epoch 380	 test acc 0.195
Epoch 400	 test acc 0.26
Epoch 420	 test acc 0.22
Epoch 440	 test acc 0.25
Epoch 460	 test acc 0.245
Epoch 480	 test acc 0.25
Epoch 500	 test acc 0.195
Epoch 520	 test acc 0.295
Epoch 540	 test acc 0.255
Epoch 560	 test acc 0.24
Epoch 580	 test acc 0.25
Saved model at models/677af524b0d8474388e7db92fa6c184d.pt
Completed training in 27123.3 seconds
