Starting run:
d1b71848613045649b9f9e3dd788978f
params: {'n': 10000, 'lr': 0.0008, 'epochs': 600, 'batch_size': 10, 'b': 10, 'cc_weight': 1.0, 'abstract_pen': 1.0, 'hmm': True, 'homo': False, 'sv': False, 'save_every': False, 'test_every': 20, 'num_test': 200, 'no_log': False, 'disk_data': False, 'outer': False, 'model_type': 'hmm', 'device': 'NVIDIA GeForce RTX 3090', 'id': 'd1b71848613045649b9f9e3dd788978f'}
train
Net has 205330 parameters
Epoch 0	 test acc 0.01
Epoch 20	 test acc 0.105
Epoch 40	 test acc 0.14
Epoch 60	 test acc 0.19
Epoch 80	 test acc 0.16
Epoch 100	 test acc 0.175
Epoch 120	 test acc 0.215
Epoch 140	 test acc 0.34
Epoch 160	 test acc 0.33
Epoch 180	 test acc 0.255
Epoch 200	 test acc 0.34
Epoch 220	 test acc 0.375
Epoch 240	 test acc 0.435
Epoch 260	 test acc 0.445
Epoch 280	 test acc 0.395
Epoch 300	 test acc 0.365
Epoch 320	 test acc 0.495
Epoch 340	 test acc 0.445
Epoch 360	 test acc 0.54
Epoch 380	 test acc 0.465
Epoch 400	 test acc 0.48
Epoch 420	 test acc 0.515
Epoch 440	 test acc 0.53
Epoch 460	 test acc 0.555
Epoch 480	 test acc 0.56
Epoch 500	 test acc 0.585
Epoch 520	 test acc 0.605
Epoch 540	 test acc 0.575
Epoch 560	 test acc 0.575
Epoch 580	 test acc 0.6
Saved model at models/d1b71848613045649b9f9e3dd788978f.pt
Completed training in 26662.5 seconds
