Starting run:
82a9b6a887dd4684af651dbdee94d4a5
params: {'n': 10000, 'lr': 0.0008, 'epochs': 600, 'batch_size': 10, 'b': 10, 'cc_weight': 1.0, 'abstract_pen': 2.0, 'hmm': True, 'homo': False, 'sv': False, 'save_every': False, 'test_every': 20, 'num_test': 200, 'no_log': False, 'disk_data': False, 'outer': False, 'model_type': 'hmm', 'device': 'NVIDIA TITAN Xp', 'id': '82a9b6a887dd4684af651dbdee94d4a5'}
train
Net has 205330 parameters
Epoch 0	 test acc 0.005
Epoch 20	 test acc 0.155
Epoch 40	 test acc 0.21
Epoch 60	 test acc 0.2
Epoch 80	 test acc 0.195
Epoch 100	 test acc 0.09
Epoch 120	 test acc 0.21
Epoch 140	 test acc 0.255
Epoch 160	 test acc 0.21
Epoch 180	 test acc 0.145
Epoch 200	 test acc 0.2
Epoch 220	 test acc 0.255
Epoch 240	 test acc 0.23
Epoch 260	 test acc 0.245
Epoch 280	 test acc 0.245
Epoch 300	 test acc 0.24
Epoch 320	 test acc 0.3
Epoch 340	 test acc 0.265
Epoch 360	 test acc 0.305
Epoch 380	 test acc 0.235
Epoch 400	 test acc 0.245
Epoch 420	 test acc 0.27
Epoch 440	 test acc 0.26
Epoch 460	 test acc 0.25
Epoch 480	 test acc 0.27
Epoch 500	 test acc 0.26
Epoch 520	 test acc 0.285
Epoch 540	 test acc 0.35
Epoch 560	 test acc 0.295
Epoch 580	 test acc 0.295
Saved model at models/82a9b6a887dd4684af651dbdee94d4a5.pt
Completed training in 35059.6 seconds
