Starting run:
cc90c7904f344f9193147fa2624023b7
params: {'n': 10000, 'lr': 0.0008, 'epochs': 600, 'batch_size': 10, 'b': 10, 'cc_weight': 1.0, 'abstract_pen': 0.0, 'hmm': True, 'homo': True, 'sv': False, 'save_every': False, 'test_every': 20, 'num_test': 200, 'no_log': False, 'disk_data': False, 'outer': False, 'model_type': 'hmm', 'device': 'NVIDIA GeForce GTX 1080 Ti', 'id': 'cc90c7904f344f9193147fa2624023b7'}
train
Net has 41898 parameters
Epoch 0	 test acc 0.125
Epoch 20	 test acc 0.2
Epoch 40	 test acc 0.205
Epoch 60	 test acc 0.215
Epoch 80	 test acc 0.165
Epoch 100	 test acc 0.11
Epoch 120	 test acc 0.145
Epoch 140	 test acc 0.225
Epoch 160	 test acc 0.17
Epoch 180	 test acc 0.185
Epoch 200	 test acc 0.17
Epoch 220	 test acc 0.15
Epoch 240	 test acc 0.185
Epoch 260	 test acc 0.17
Epoch 280	 test acc 0.225
Epoch 300	 test acc 0.18
Epoch 320	 test acc 0.225
Epoch 340	 test acc 0.2
Epoch 360	 test acc 0.185
Epoch 380	 test acc 0.205
Epoch 400	 test acc 0.195
Epoch 420	 test acc 0.2
Epoch 440	 test acc 0.21
Epoch 460	 test acc 0.185
Epoch 480	 test acc 0.2
Epoch 500	 test acc 0.215
Epoch 520	 test acc 0.215
Epoch 540	 test acc 0.215
Epoch 560	 test acc 0.19
Epoch 580	 test acc 0.225
Saved model at models/cc90c7904f344f9193147fa2624023b7.pt
Completed training in 44544.3 seconds
