Solved 94/100 episodes; avg steps taken in solved episodes: 25.51063829787234
Solved 98/100 episodes; avg steps taken in solved episodes: 25.724489795918366
Solved 97/100 episodes; avg steps taken in solved episodes: 26.237113402061855
Solved 95/100 episodes; avg steps taken in solved episodes: 26.28421052631579
Solved 100/100 episodes; avg steps taken in solved episodes: 26.25
Solved 97/100 episodes; avg steps taken in solved episodes: 27.77319587628866
Solved 99/100 episodes; avg steps taken in solved episodes: 26.07070707070707
Solved 97/100 episodes; avg steps taken in solved episodes: 27.34020618556701
Solved 99/100 episodes; avg steps taken in solved episodes: 26.505050505050505
Solved 96/100 episodes; avg steps taken in solved episodes: 27.1875
Solved 95/100 episodes; avg steps taken in solved episodes: 25.63157894736842
Solved 98/100 episodes; avg steps taken in solved episodes: 26.5
Solved 97/100 episodes; avg steps taken in solved episodes: 27.835051546391753
Solved 96/100 episodes; avg steps taken in solved episodes: 26.760416666666668
Solved 98/100 episodes; avg steps taken in solved episodes: 24.714285714285715
Solved 98/100 episodes; avg steps taken in solved episodes: 26.3265306122449
Solved 97/100 episodes; avg steps taken in solved episodes: 26.77319587628866
Solved 96/100 episodes; avg steps taken in solved episodes: 26.1875
Solved 99/100 episodes; avg steps taken in solved episodes: 26.22222222222222
Solved 98/100 episodes; avg steps taken in solved episodes: 27.448979591836736
Solved 99/100 episodes; avg steps taken in solved episodes: 26.252525252525253
Solved 99/100 episodes; avg steps taken in solved episodes: 26.838383838383837
Solved 97/100 episodes; avg steps taken in solved episodes: 26.195876288659793
Solved 97/100 episodes; avg steps taken in solved episodes: 24.762886597938145
Solved 98/100 episodes; avg steps taken in solved episodes: 23.806122448979593
Solved 100/100 episodes; avg steps taken in solved episodes: 28.1
